cod_ibge,nome_municipio,mort_2019,mort_2020,mort_2021,mort_2022,mort_2023,mort_total,aih_aprovadas,valor_total_reais,populacao,pib_medio_mil_reais,taxa_mort_100k,taxa_proc_100k,pib_per_capita,crescimento_mort
150010,ABAETETUBA,33.0,30.0,39.0,60.0,45.0,207.0,0.0,0.0,160439,16782442.2,129.02099863499524,0.0,104603.25855932785,36.36363636363637
150013,ABEL FIGUEIREDO,2.0,2.0,5.0,3.0,2.0,14.0,0.0,0.0,7536,934838.4,185.77494692144373,0.0,124049.68152866242,0.0
150020,ACARA,16.0,21.0,21.0,24.0,27.0,109.0,0.0,0.0,55744,11487842.2,195.536739380023,0.0,206082.12901836968,68.75
150030,AFUA,7.0,6.0,3.0,2.0,6.0,24.0,0.0,0.0,39910,4248176.6,60.1353044349787,0.0,106443.91380606363,-14.285714285714285
150034,AGUA AZUL DO NORTE,2.0,3.0,6.0,4.0,12.0,27.0,0.0,0.0,27797,6227411.8,97.13278411339353,0.0,224031.79479799978,500.0
150040,ALENQUER,27.0,28.0,37.0,37.0,22.0,151.0,0.0,0.0,57390,7984747.6,263.1120404251612,0.0,139131.33995469593,-18.51851851851852
150050,ALMEIRIM,9.0,25.0,11.0,11.0,18.0,74.0,0.0,0.0,34044,5302006.0,217.36576195511688,0.0,155739.8073081894,100.0
150060,ALTAMIRA,54.0,61.0,53.0,38.0,52.0,258.0,0.0,0.0,117320,26604473.2,219.91135356290488,0.0,226768.4384589158,-3.7037037037037033
150070,ANAJAS,6.0,8.0,4.0,7.0,9.0,34.0,0.0,0.0,30091,2368998.0,112.99059519457644,0.0,78727.79236316506,50.0
150080,ANANINDEUA,231.0,236.0,227.0,211.0,259.0,1164.0,64.0,313573.94,540410,78657300.0,215.3920171721471,11.842860050702244,145551.15560407838,12.121212121212121
150085,ANAPU,13.0,13.0,24.0,14.0,5.0,69.0,0.0,0.0,29312,5110148.2,235.3984716157205,0.0,174336.38782751092,-61.53846153846154
150090,AUGUSTO CORREA,7.0,1.0,5.0,15.0,12.0,40.0,0.0,0.0,46937,3315134.4,85.22061486673626,0.0,70629.4479834672,71.42857142857143
150095,AURORA DO PARA,8.0,7.0,8.0,11.0,5.0,39.0,0.0,0.0,32200,2657368.4,121.11801242236024,0.0,82526.96894409938,-37.5
150100,AVEIRO,0.0,1.0,4.0,1.0,2.0,8.0,0.0,0.0,16421,1435408.8,48.71810486572072,0.0,87412.99555447293,0.0
150110,BAGRE,3.0,6.0,6.0,6.0,6.0,27.0,0.0,0.0,31967,2221908.0,84.46210154221541,0.0,69506.30337535584,100.0
